"ancestor_concept_id","descendant_concept_id","min_levels_of_separation","max_levels_of_separation"
444208,4342866,2,2
444208,45757494,2,2
444208,4340964,3,3
444208,4340963,2,2
444208,3654680,2,2
444208,4341073,2,2
444208,36716714,2,2
444208,37110323,3,3
444363,4340961,1,1
444363,4340493,2,3
444363,4340964,2,3
444363,4341073,1,1
444363,40483827,2,2
581477,581477,0,0
761083,761083,0,0
761083,4128029,1,1
761083,4126426,2,2
761746,3655446,2,2
763030,763030,0,0
3654680,3654680,0,0
3655445,3655446,1,1
3655446,3655446,0,0
3661748,3661748,0,0
4013074,4125494,2,2
4013074,4211348,3,5
4013518,4125494,3,3
4013518,4211348,5,7
4013842,4125494,2,2
4013842,4211348,4,6
4013991,4125494,3,3
4013991,4211348,5,5
4018852,36716182,4,4
4018852,37395521,7,7
4018852,761083,2,2
4018852,44809061,4,4
4018852,37395520,7,7
4018852,44809062,4,4
4018852,37395517,6,6
4018852,37395518,6,6
4018852,3661748,4,4
4018852,44809063,4,4
4018852,37395519,7,7
4018852,36716183,4,4
4018852,37395514,6,6
4018852,36716312,4,4
4018852,37395516,6,6
4021915,4125494,3,4
4021915,4211348,5,7
4023319,196628,4,4
4023995,36716182,5,6
4024000,36716182,4,7
4024000,761083,4,5
4024000,37395521,9,10
4024000,44809061,6,7
4024000,3661748,6,7
4024000,37395518,8,9
4024000,37395517,8,9
4024000,44809062,6,7
4024000,37395520,9,10
4024000,37395519,9,10
4024000,37395514,8,9
4024000,36716183,4,7
4024000,44809063,6,7
4024000,36716312,6,7
4024000,37395516,8,9
4024552,36716182,3,3
4024567,3655446,7,7
4026157,4026157,0,0
4026158,4026158,0,0
4027384,4340493,4,7
4027384,4340494,3,6
4027384,4340961,3,6
4027384,4337316,4,5
4027384,4185268,3,6
4027384,36675120,4,5
4027384,36715932,4,5
4027384,4241838,4,5
4027384,4192249,3,6
4027384,4026158,3,7
4027384,4340962,5,6
4027384,4192640,3,4
4027384,763030,3,6
4027384,4147231,4,5
4027384,195596,2,5
4027384,4102255,3,6
4027384,4088042,2,6
4027384,4121819,3,6
4027384,4125494,4,5
4027384,36716715,5,6
4027384,4124691,4,5
4027384,4341763,3,6
4027384,35624505,3,6
4027384,4243504,4,5
4027384,44806251,3,6
4027384,196628,5,6
4027384,4262937,4,5
4027384,4342866,3,6
4027384,4082334,3,6
4027384,4340496,3,6
4027384,45757494,3,6
4027384,40490446,4,5
4027384,36716513,4,5
4027384,4309439,4,5
4027384,4340960,3,6
4027384,4341765,4,7
4027384,37110323,4,7
4027384,199074,2,5
4027384,4341073,3,6
4027384,46274136,3,6
4027384,4340964,4,7
4027384,40483827,4,5
4027384,4303234,3,6
4027384,36716714,3,6
4027384,3654680,3,6
4027384,4340963,3,6
4027384,4026157,3,6
4027384,4341764,3,6
4027384,4319446,4,5
4027553,3655446,5,5
4028062,4340962,2,2
4028062,4026158,3,3
4028062,196628,2,2
4028062,4088042,2,2
4028062,4309439,1,1
4028062,4341765,2,2
4028062,3654680,2,2
4028071,36675120,5,6
4028071,4337316,6,6
4028071,4241838,6,6
4028071,36715932,6,6
4028071,4340961,7,7
4028071,36716182,6,9
4028071,3655446,7,7
4028071,4340962,5,7
4028071,4192249,6,7
4028071,4192640,5,5
4028071,44809061,7,9
4028071,4185268,6,7
4028071,37395521,10,12
4028071,4147231,6,6
4028071,4340493,7,8
4028071,761083,5,7
4028071,763030,7,7
4028071,4340494,7,7
4028071,4026158,6,8
4028071,4243504,6,6
4028071,4341763,7,7
4028071,4121819,7,7
4028071,4088042,5,7
4028071,3661748,7,9
4028071,37395520,10,12
4028071,196628,5,7
4028071,4125494,6,6
4028071,195596,6,6
4028071,44809062,7,9
4028071,37395517,9,11
4028071,4102255,7,7
4028071,35624505,7,7
4028071,4124691,6,6
4028071,36716715,7,7
4028071,37395518,9,11
4028071,44806251,7,7
4028071,4340496,7,7
4028071,4342866,7,7
4028071,37395519,10,12
4028071,40490446,6,6
4028071,45757494,7,7
4028071,4262937,2,6
4028071,4082334,7,7
4028071,36716183,6,9
4028071,4309439,4,6
4028071,36716513,6,6
4028071,44809063,7,9
4028071,37395514,9,11
4028071,4341073,7,7
4028071,37110323,8,8
4028071,40483827,6,6
4028071,4341764,7,7
4028071,4340963,7,7
4028071,4319446,6,6
4028071,4341765,5,8
4028071,4303234,7,7
4028071,4340960,7,7
4028071,199074,6,6
4028071,3654680,5,7
4028071,4340964,7,8
4028071,4026157,7,7
4028071,46274136,7,7
4028071,36716312,7,9
4028071,36716714,7,7
4028071,37395516,9,11
4028367,36716182,3,3
4028387,4262809,5,6
4028942,36716715,2,2
4028942,40490446,1,1
4030518,37395521,6,6
4030518,36716182,2,3
4030518,44809061,3,3
4030518,44809062,3,3
4030518,37395520,6,6
4030518,3661748,3,3
4030518,37395518,5,5
4030518,37395517,5,5
4030518,37395519,6,6
4030518,36716183,2,3
4030518,44809063,3,3
4030518,37395514,5,5
4030518,36716312,3,3
4030518,37395516,5,5
4033028,4262809,1,1
4041285,44809061,6,8
4041285,36716182,5,8
4041285,761083,4,6
4041285,37395521,9,11
4041285,37395518,8,10
4041285,37395520,9,11
4041285,44809062,6,8
4041285,37395517,8,10
4041285,3661748,6,8
4041285,37395514,8,10
4041285,36716183,5,8
4041285,44809063,6,8
4041285,37395519,9,11
4041285,37395516,8,10
4041285,36716312,6,8
4041436,44809061,4,4
4041436,37395521,7,7
4041436,36716182,3,4
4041436,37395518,6,6
4041436,4125494,5,6
4041436,37395517,6,6
4041436,37395520,7,7
4041436,3661748,4,4
4041436,44809062,4,4
4041436,37395519,7,7
4041436,44809063,4,4
4041436,36716183,3,4
4041436,37395514,6,6
4041436,36716312,4,4
4041436,4211348,6,10
4041436,37395516,6,6
4042140,36715932,4,9
4042140,36716182,4,12
4042140,763030,5,10
4042140,4026158,4,11
4042140,3655446,8,10
4042140,37395521,11,15
4042140,44809061,8,12
4042140,4192640,4,8
4042140,4337316,5,9
4042140,4340961,5,10
4042140,761083,5,10
4042140,4340493,6,11
4042140,4185268,5,10
4042140,4147231,5,9
4042140,4241838,5,9
4042140,4340962,4,10
4042140,36675120,5,9
4042140,4340494,5,10
4042140,4192249,5,10
4042140,4088042,5,10
4042140,4121819,5,10
4042140,4125494,5,9
4042140,4102255,5,10
4042140,37395520,11,15
4042140,44806251,5,10
4042140,4243504,5,9
4042140,4341763,5,10
4042140,3661748,8,12
4042140,44809062,8,12
4042140,196628,4,10
4042140,37395518,10,14
4042140,35624505,5,10
4042140,36716715,6,10
4042140,195596,4,9
4042140,37395517,10,14
4042140,4124691,4,9
4042140,37395514,10,14
4042140,36716513,5,9
4042140,44809063,8,12
4042140,40490446,5,9
4042140,36716183,4,12
4042140,37395519,11,15
4042140,4309439,4,9
4042140,4262937,4,9
4042140,4342866,5,10
4042140,45757494,5,10
4042140,4082334,5,10
4042140,4262809,5,9
4042140,4340496,5,10
4042140,3654680,5,10
4042140,37110323,6,11
4042140,4340964,6,11
4042140,40483827,5,9
4042140,4026157,5,10
4042140,4319446,5,9
4042140,4303234,4,10
4042140,4341073,5,10
4042140,36716714,5,10
4042140,36716312,8,12
4042140,46274136,5,10
4042140,4341765,4,11
4042140,199074,4,9
4042140,4211348,7,7
4042140,4341764,5,10
4042140,37395516,10,14
4042140,4340963,5,10
4042140,4340960,5,10
4043343,763030,3,3
4043346,36716182,5,6
4043346,3655446,5,5
4047779,4026158,3,9
4047779,44809061,7,10
4047779,4337316,4,7
4047779,4340961,5,8
4047779,4340962,3,8
4047779,4192249,5,8
4047779,37395521,10,13
4047779,36675120,4,7
4047779,763030,5,8
4047779,36715932,4,7
4047779,3655446,8,8
4047779,761083,5,8
4047779,4185268,5,8
4047779,4192640,3,6
4047779,4340493,5,9
4047779,4340494,5,8
4047779,4147231,4,7
4047779,36716182,3,10
4047779,4241838,4,7
4047779,44806251,5,8
4047779,196628,3,8
4047779,37395517,9,12
4047779,4088042,4,8
4047779,37395518,9,12
4047779,4125494,4,7
4047779,195596,4,7
4047779,44809062,7,10
4047779,4121819,5,8
4047779,35624505,5,8
4047779,4341763,5,8
4047779,36716715,5,8
4047779,4243504,4,7
4047779,3661748,7,10
4047779,4124691,4,7
4047779,37395520,10,13
4047779,4102255,5,8
4047779,4262809,4,8
4047779,45757494,5,8
4047779,37395514,9,12
4047779,4342866,5,8
4047779,36716183,3,10
4047779,40490446,4,7
4047779,37395519,10,13
4047779,36716513,4,7
4047779,4262937,3,7
4047779,4309439,3,7
4047779,4082334,5,8
4047779,4340496,5,8
4047779,44809063,7,10
4047779,36716714,5,8
4047779,36716312,7,10
4047779,4340963,5,8
4047779,4319446,4,7
4047779,40483827,4,7
4047779,37395516,9,12
4047779,4026157,5,8
4047779,4340964,5,9
4047779,46274136,5,8
4047779,4211348,6,6
4047779,4303234,3,8
4047779,4341073,5,8
4047779,3654680,4,8
4047779,199074,4,7
4047779,4341765,3,9
4047779,4341764,5,8
4047779,4340960,5,8
4047779,37110323,6,9
4052554,3655446,4,4
4054401,4262809,2,2
4073287,3654680,1,1
4081236,4262809,3,3
4082334,4082334,0,0
4086921,44791268,6,6
4086921,44790985,6,6
4088042,4026158,1,1
4088042,4088042,0,0
4091056,37395521,8,8
4091056,44809061,5,5
4091056,761083,3,3
4091056,36716182,3,5
4091056,37395520,8,8
4091056,44809062,5,5
4091056,37395518,7,7
4091056,37395517,7,7
4091056,3661748,5,5
4091056,36716183,3,5
4091056,37395519,8,8
4091056,44809063,5,5
4091056,37395514,7,7
4091056,36716312,5,5
4091056,37395516,7,7
4093227,4262937,1,1
4093759,4192249,1,1
4093991,4262937,3,3
4093991,4262809,5,7
4096864,763030,5,5
4096864,44809061,6,6
4096864,36675120,4,4
4096864,761083,3,4
4096864,4340494,5,5
4096864,4147231,4,4
4096864,37395521,9,9
4096864,4026158,6,6
4096864,4192249,4,5
4096864,4185268,4,5
4096864,36715932,4,4
4096864,4340962,5,5
4096864,36716182,4,6
4096864,4241838,4,4
4096864,4340961,5,5
4096864,4340493,5,6
4096864,4192640,3,3
4096864,4337316,4,4
4096864,4102255,5,5
4096864,4125494,4,4
4096864,37395517,8,8
4096864,195596,4,4
4096864,196628,5,5
4096864,37395520,9,9
4096864,44806251,5,5
4096864,36716715,5,5
4096864,4124691,4,4
4096864,3661748,6,6
4096864,37395518,8,8
4096864,4341763,5,5
4096864,4121819,5,5
4096864,44809062,6,6
4096864,4243504,4,4
4096864,35624505,5,5
4096864,4088042,5,5
4096864,37395519,9,9
4096864,44809063,6,6
4096864,45757494,5,5
4096864,4342866,5,5
4096864,4340496,5,5
4096864,40490446,4,4
4096864,4262937,4,4
4096864,4082334,5,5
4096864,4309439,4,4
4096864,36716513,4,4
4096864,36716183,4,6
4096864,37395514,8,8
4096864,40483827,4,4
4096864,3654680,5,5
4096864,4340963,5,5
4096864,4341764,5,5
4096864,4340964,5,6
4096864,199074,4,4
4096864,4026157,5,5
4096864,37395516,8,8
4096864,4341765,5,6
4096864,46274136,5,5
4096864,4319446,4,4
4096864,4340960,5,5
4096864,4341073,5,5
4096864,36716312,6,6
4096864,36716714,5,5
4096864,4303234,5,5
4096864,37110323,6,6
4100065,3661748,3,3
4102255,4102255,0,0
4102255,37110323,1,1
4103183,36716182,4,5
4114506,4026158,2,2
4114506,4088042,1,1
4115390,36716182,5,6
4115574,36675120,3,3
4115574,763030,5,5
4115580,763030,4,4
4115580,4340494,4,4
4115580,4026158,5,5
4115580,4340961,4,4
4115580,36675120,3,3
4115580,4147231,3,3
4115580,4185268,3,4
4115580,4337316,3,3
4115580,4340493,4,5
4115580,4241838,3,3
4115580,4340962,4,4
4115580,4192640,2,2
4115580,36715932,3,3
4115580,4192249,3,4
4115580,4341763,4,4
4115580,196628,4,4
4115580,4124691,3,3
4115580,4121819,4,4
4115580,35624505,4,4
4115580,4243504,3,3
4115580,4125494,3,3
4115580,4102255,4,4
4115580,4088042,4,4
4115580,36716715,4,4
4115580,44806251,4,4
4115580,195596,3,3
4115580,40490446,3,3
4115580,36716513,3,3
4115580,4342866,4,4
4115580,4082334,4,4
4115580,4262937,3,3
4115580,4340496,4,4
4115580,4309439,3,3
4115580,45757494,4,4
4115580,4341073,4,4
4115580,199074,3,3
4115580,4340963,4,4
4115580,37110323,5,5
4115580,4303234,4,4
4115580,3654680,4,4
4115580,4319446,3,3
4115580,4341765,4,5
4115580,4026157,4,4
4115580,4340964,4,5
4115580,4340960,4,4
4115580,40483827,3,3
4115580,46274136,4,4
4115580,36716714,4,4
4115580,4341764,4,4
4117930,3655446,8,8
4117930,4340961,8,8
4117930,4241838,7,7
4117930,4185268,7,8
4117930,44809061,8,10
4117930,4340494,8,8
4117930,4192249,7,8
4117930,763030,8,8
4117930,4340962,6,8
4117930,4147231,7,7
4117930,4340493,8,9
4117930,37395521,11,13
4117930,761083,6,8
4117930,4337316,7,7
4117930,36716182,7,10
4117930,36675120,6,7
4117930,4192640,6,6
4117930,36715932,7,7
4117930,4026158,7,9
4117930,4124691,7,7
4117930,44806251,8,8
4117930,35624505,8,8
4117930,4088042,6,8
4117930,4243504,7,7
4117930,3661748,8,10
4117930,4125494,7,7
4117930,37395518,10,12
4117930,196628,6,8
4117930,37395520,11,13
4117930,44809062,8,10
4117930,195596,7,7
4117930,36716715,8,8
4117930,37395517,10,12
4117930,4121819,8,8
4117930,4102255,8,8
4117930,4341763,8,8
4117930,37395519,11,13
4117930,36716513,7,7
4117930,4262937,3,7
4117930,4342866,8,8
4117930,36716183,7,10
4117930,37395514,10,12
4117930,4082334,8,8
4117930,4309439,5,7
4117930,44809063,8,10
4117930,40490446,7,7
4117930,45757494,8,8
4117930,4340496,8,8
4117930,4341764,8,8
4117930,4319446,7,7
4117930,36716714,8,8
4117930,40483827,7,7
4117930,37110323,9,9
4117930,4026157,8,8
4117930,4340960,8,8
4117930,4340964,8,9
4117930,4340963,8,8
4117930,37395516,10,12
4117930,4303234,8,8
4117930,4341073,8,8
4117930,36716312,8,10
4117930,3654680,6,8
4117930,46274136,8,8
4117930,4341765,6,9
4117930,199074,7,7
4121819,4121819,0,0
4124691,4124691,0,0
4124691,4026157,1,1
4125494,4125494,0,0
4126305,36716182,2,2
4126305,44809061,2,2
4126305,37395521,5,5
4126305,3661748,2,2
